from,virus,to,host,number,type,
5,Mimiviridae/extended_Mimiviridae,13,Arthropoda,9,Animal,Unknown
5,Mimiviridae/extended_Mimiviridae,17,Mucoromycota,9,Fungi,Unknown
5,Mimiviridae/extended_Mimiviridae,12,Amoebozoa,7,Protozoa,Known
5,Mimiviridae/extended_Mimiviridae,18,Chlorophyta,7,Algae,Known
5,Mimiviridae/extended_Mimiviridae,22,Streptophyta,7,Algae,Known
5,Mimiviridae/extended_Mimiviridae,14,Ascomycota,6,Fungi,Unknown
8,Unassigned_Algavirales,18,Chlorophyta,4,Algae,Known
2,Iridoviridae,13,Arthropoda,3,Animal,Known
6,Pandoraviridae,14,Ascomycota,3,Fungi,Unknown
8,Unassigned_Algavirales,14,Ascomycota,2,Fungi,Unknown
8,Unassigned_Algavirales,15,Basidiomycota,2,Fungi,Unknown
6,Pandoraviridae,18,Chlorophyta,2,Algae,Unknown
2,Iridoviridae,18,Chlorophyta,2,Algae,Unknown
5,Mimiviridae/extended_Mimiviridae,11,Choanoflagellata,2,Protozoa,Known
5,Mimiviridae/extended_Mimiviridae,9,Discoba,2,Protozoa,Unknown
6,Pandoraviridae,12,Amoebozoa,1,Protozoa,Known
2,Iridoviridae,12,Amoebozoa,1,Protozoa,Unknown
3,Marseilleviridae,13,Arthropoda,1,Animal,Unknown
7,Prasinoviridae,15,Basidiomycota,1,Fungi,Unknown
5,Mimiviridae/extended_Mimiviridae,15,Basidiomycota,1,Fungi,Unknown
4,Pithoviridae,18,Chlorophyta,1,Algae,Known
5,Mimiviridae/extended_Mimiviridae,20,Haptophyta,1,Algae,Known
2,Iridoviridae,20,Haptophyta,1,Algae,Unknown
6,Pandoraviridae,17,Mucoromycota,1,Fungi,Unknown
5,Mimiviridae/extended_Mimiviridae,21,Rhodophyta,1,Algae,Unknown
3,Marseilleviridae,22,Streptophyta,1,Algae,Unknown
2,Iridoviridae,22,Streptophyta,1,Algae,Unknown
1,Asfarviridae,23,Bacillariophyta,0,Algae,
1,Asfarviridae,10,Bigyra,0,Protozoa,
1,Asfarviridae,16,Chytridiomycota,0,Fungi,
1,Asfarviridae,19,Dinophyceae,0,Algae,
